cancer,center,n,study_design
adrenal gland cancer,PHS,1,All patients
adrenocortical carcinoma,DFCI,26,All patients
adrenocortical carcinoma,GRCC,12,All patients
adrenocortical carcinoma,MDA,15,All patients
adrenocortical carcinoma,MSK,59,All patients
adrenocortical carcinoma,NKI,1,All patients
adrenocortical carcinoma,UCSF,7,All patients
adrenocortical carcinoma,UHN,5,All patients
adrenocortical carcinoma,VICC,9,All patients
ampullary cancer,DFCI,22,All patients
ampullary cancer,MDA,2,All patients
ampullary cancer,MSK,67,All patients
ampullary cancer,NKI,2,All patients
ampullary cancer,UCSF,1,All patients
ampullary cancer,UHN,5,All patients
ampullary cancer,VICC,7,All patients
anal cancer,DFCI,44,All patients
anal cancer,GRCC,5,All patients
anal cancer,JHU,3,All patients
anal cancer,MDA,16,All patients
anal cancer,MSK,65,All patients
anal cancer,NKI,2,All patients
anal cancer,PHS,1,All patients
anal cancer,SCI,1,All patients
anal cancer,UCSF,3,All patients
anal cancer,UHN,2,All patients
anal cancer,VICC,6,All patients
anal cancer,WAKE,1,All patients
appendiceal cancer,COLU,1,All patients
appendiceal cancer,DFCI,66,All patients
appendiceal cancer,JHU,5,All patients
appendiceal cancer,MDA,30,All patients
appendiceal cancer,MSK,170,All patients
appendiceal cancer,NKI,14,All patients
appendiceal cancer,PHS,1,All patients
appendiceal cancer,SCI,1,All patients
appendiceal cancer,UCHI,2,All patients
appendiceal cancer,UCSF,2,All patients
appendiceal cancer,UHN,8,All patients
appendiceal cancer,VICC,24,All patients
appendiceal cancer,WAKE,17,All patients
b cell lymphoma,CHOP,3,All patients
b cell lymphoma,COLU,2,All patients
b cell lymphoma,DFCI,572,All patients
b cell lymphoma,GRCC,1,All patients
b cell lymphoma,JHU,3,All patients
b cell lymphoma,MSK,345,All patients
b cell lymphoma,SCI,20,All patients
b cell lymphoma,UCHI,1,All patients
b cell lymphoma,UCSF,11,All patients
b cell lymphoma,VICC,3,All patients
b cell lymphoma,WAKE,1,All patients
b-lymphoblastic leukemia/lymphoma,CHOP,25,All patients
b-lymphoblastic leukemia/lymphoma,COLU,2,All patients
b-lymphoblastic leukemia/lymphoma,DFCI,78,All patients
b-lymphoblastic leukemia/lymphoma,MSK,60,All patients
b-lymphoblastic leukemia/lymphoma,UCSF,13,All patients
b-lymphoblastic leukemia/lymphoma,UHN,68,All patients
b-lymphoblastic leukemia/lymphoma,VICC,2,All patients
bladder cancer,DFCI,536,All patients
bladder cancer,DUKE,14,All patients
bladder cancer,GRCC,86,All patients
bladder cancer,JHU,3,All patients
bladder cancer,MDA,46,All patients
bladder cancer,MSK,742,All patients
bladder cancer,NKI,8,All patients
bladder cancer,PHS,7,All patients
bladder cancer,SCI,6,All patients
bladder cancer,UCSF,16,All patients
bladder cancer,UHN,24,All patients
bladder cancer,VICC,69,All patients
bladder cancer,WAKE,21,All patients
bladder cancer,YALE,3,All patients
blastic plasmacytoid dendritic cell neoplasm,DFCI,7,All patients
blastic plasmacytoid dendritic cell neoplasm,MSK,1,All patients
blastic plasmacytoid dendritic cell neoplasm,UHN,3,All patients
blastic plasmacytoid dendritic cell neoplasm,VICC,2,All patients
bone cancer,CHOP,15,All patients
bone cancer,COLU,3,All patients
bone cancer,DFCI,90,All patients
bone cancer,GRCC,18,All patients
bone cancer,JHU,8,All patients
bone cancer,MDA,88,All patients
bone cancer,MSK,296,All patients
bone cancer,NKI,1,All patients
bone cancer,UCSF,19,All patients
bone cancer,UHN,5,All patients
bone cancer,VICC,17,All patients
bone cancer,WAKE,9,All patients
bone cancer,YALE,1,All patients
breast cancer,COLU,3,All patients
breast cancer,CRUK,2420,All patients
breast cancer,DFCI,1606,All patients
breast cancer,DUKE,43,All patients
breast cancer,GRCC,161,All patients
breast cancer,JHU,6,All patients
breast cancer,MDA,714,All patients
breast cancer,MSK,3631,All patients
breast cancer,NKI,21,All patients
breast cancer,PHS,29,All patients
breast cancer,SCI,90,All patients
breast cancer,UCHI,1,All patients
breast cancer,UCSF,41,All patients
breast cancer,UHN,201,All patients
breast cancer,VHIO,16,All patients
breast cancer,VICC,315,All patients
breast cancer,WAKE,24,All patients
breast cancer,YALE,11,All patients
cancer of unknown primary,CHOP,3,All patients
cancer of unknown primary,COLU,3,All patients
cancer of unknown primary,DFCI,587,All patients
cancer of unknown primary,DUKE,9,All patients
cancer of unknown primary,GRCC,53,All patients
cancer of unknown primary,JHU,124,All patients
cancer of unknown primary,MDA,176,All patients
cancer of unknown primary,MSK,768,All patients
cancer of unknown primary,NKI,56,All patients
cancer of unknown primary,PHS,5,All patients
cancer of unknown primary,SCI,11,All patients
cancer of unknown primary,UCHI,7,All patients
cancer of unknown primary,UCSF,49,All patients
cancer of unknown primary,UHN,24,All patients
cancer of unknown primary,VHIO,4,All patients
cancer of unknown primary,VICC,64,All patients
cancer of unknown primary,WAKE,43,All patients
cancer of unknown primary,YALE,3,All patients
cervical cancer,DFCI,89,All patients
cervical cancer,GRCC,35,All patients
cervical cancer,MDA,39,All patients
cervical cancer,MSK,128,All patients
cervical cancer,NKI,6,All patients
cervical cancer,PHS,1,All patients
cervical cancer,UCSF,7,All patients
cervical cancer,UHN,42,All patients
cervical cancer,VICC,8,All patients
cervical cancer,WAKE,12,All patients
cns cancer,CHOP,175,All patients
cns cancer,COLU,5,All patients
cns cancer,DFCI,1633,All patients
cns cancer,DUKE,42,All patients
cns cancer,GRCC,73,All patients
cns cancer,JHU,270,All patients
cns cancer,MDA,326,All patients
cns cancer,MSK,1304,All patients
cns cancer,NKI,11,All patients
cns cancer,PHS,62,All patients
cns cancer,SCI,89,All patients
cns cancer,UCHI,3,All patients
cns cancer,UCSF,452,All patients
cns cancer,VHIO,3,All patients
cns cancer,VICC,87,All patients
cns cancer,WAKE,27,All patients
cns cancer,YALE,3,All patients
colorectal cancer,COLU,3,All patients
colorectal cancer,DFCI,1498,All patients
colorectal cancer,DUKE,111,All patients
colorectal cancer,GRCC,85,All patients
colorectal cancer,JHU,940,All patients
colorectal cancer,MDA,640,All patients
colorectal cancer,MSK,2237,All patients
colorectal cancer,NKI,242,All patients
colorectal cancer,PHS,126,All patients
colorectal cancer,SCI,40,All patients
colorectal cancer,UCHI,77,All patients
colorectal cancer,UCSF,66,All patients
colorectal cancer,UHN,259,All patients
colorectal cancer,VHIO,9,All patients
colorectal cancer,VICC,310,All patients
colorectal cancer,WAKE,62,All patients
colorectal cancer,YALE,19,All patients
esophagogastric cancer,COLU,14,All patients
esophagogastric cancer,DFCI,658,All patients
esophagogastric cancer,DUKE,23,All patients
esophagogastric cancer,GRCC,47,All patients
esophagogastric cancer,JHU,14,All patients
esophagogastric cancer,MDA,129,All patients
esophagogastric cancer,MSK,694,All patients
esophagogastric cancer,NKI,24,All patients
esophagogastric cancer,PHS,9,All patients
esophagogastric cancer,SCI,10,All patients
esophagogastric cancer,UCHI,1,All patients
esophagogastric cancer,UCSF,30,All patients
esophagogastric cancer,UHN,49,All patients
esophagogastric cancer,VHIO,7,All patients
esophagogastric cancer,VICC,72,All patients
esophagogastric cancer,WAKE,19,All patients
esophagogastric cancer,YALE,2,All patients
germ cell tumor,CHOP,27,All patients
germ cell tumor,DFCI,176,All patients
germ cell tumor,DUKE,8,All patients
germ cell tumor,GRCC,18,All patients
germ cell tumor,JHU,5,All patients
germ cell tumor,MDA,68,All patients
germ cell tumor,MSK,488,All patients
germ cell tumor,NKI,1,All patients
germ cell tumor,SCI,4,All patients
germ cell tumor,UCHI,2,All patients
germ cell tumor,UCSF,74,All patients
germ cell tumor,UHN,3,All patients
germ cell tumor,VICC,3,All patients
germ cell tumor,WAKE,7,All patients
germ cell tumor,YALE,2,All patients
head and neck cancer,COLU,1,All patients
head and neck cancer,DFCI,572,All patients
head and neck cancer,DUKE,1,All patients
head and neck cancer,GRCC,156,All patients
head and neck cancer,JHU,2,All patients
head and neck cancer,MDA,156,All patients
head and neck cancer,MSK,610,All patients
head and neck cancer,NKI,15,All patients
head and neck cancer,PHS,14,All patients
head and neck cancer,SCI,4,All patients
